Qubit,Pair,T1 (µs),T2 (µs),f1QRB,f1QRB std err,f1Q sim. RB,f1Q sim. RB std err,fRO,fISWAP,Avg T1,Avg T2,Avg f1QRB,Avg fRO
56,,44.683061551920034,9.336214300548207,0.9987881588755883,0.00009517846122502523,0.9982225248626455,0.00010689072430736893,0.902,,,,,
57,,29.182109832603942,23.244399538935312,0.9991586765215714,0.000032949146727089896,0.9990916225496681,0.000025101625087757677,0.976,,,,,
58,,43.04747150851718,15.330085699094553,0.9993694218706978,0.00001607275239139345,0.9990298084618455,0.00003224216359684292,0.976,,,,,
59,,45.67596944671237,22.00286716558253,0.9986021601179761,0.000052483645855401894,0.9981619960542106,0.00005885951867762088,0.976,,,,,
60,,45.78839444691063,25.78859141122436,0.9982962542272488,0.00005135402257038949,0.9972839841104186,0.0004890966352212626,0.97,,,,,
61,,18.96653358346434,11.047159073962476,0.9961615405100861,0.0002101609911235142,0.9955676526154336,0.00035765272997447835,0.774,,,,,
62,,53.08899130196387,28.58023689045197,0.9994594771087103,0.00002639847187392877,0.9991114114801208,0.000016474029219678884,0.981,,,,,
63,,71.64162041894961,23.093006668473137,0.999373410320054,0.00003687273634962116,0.9989523222480585,0.00001305821856893215,0.969,,,,,
64,,31.453554053761934,21.112489284380587,0.9991539730983938,0.000033393758303987017,0.9987800588498353,0.00010598373797695687,0.985,,,,,
65,,18.262276915814724,16.442657082782475,0.9989715285005869,0.000033652362035833064,0.9987067253399815,0.00003014287905691402,0.958,,,,,
66,,62.85122189675363,19.44206959292316,0.9985749794522777,0.00009967512815500891,0.9962104034147257,0.0001396673546607606,0.954,,,,,
67,,20.996245471582853,18.885917455246926,0.9981055372964638,0.0003062283930676713,0.9974238222549056,0.00012226015570816594,0.898,,,,,
68,,45.52208530395063,24.945545850307838,0.9994870131129399,0.00003829748015297996,0.9984117089341048,0.00009719725179166811,0.965,,,,,
69,,54.35205843995483,26.77238806736426,0.9994559128209355,0.000021204175349389206,0.9990884831097873,0.000021493289586209544,0.9590000000000001,,,,,
70,,55.97701989890069,37.37460684627436,0.9995666590508772,0.000018273730947825707,0.9992733618692112,0.000027522383147117916,0.955,,,,,
71,,37.24492072132435,23.67530230151793,0.9994074977354049,0.00003330050371950006,0.9987689196134385,0.0002994377735759319,0.98,,,,,
72,,29.786960381583683,24.47809144734414,0.99928870428827,0.000022558389113849753,0.9987582311970982,0.00014218914522553432,0.968,,,,,
73,,7.485478255686573,14.414648944693909,0.9989172893600201,0.00003998902947330511,0.9984140146850762,0.000022400710787786704,0.965,,,,,
74,,34.94844790719043,25.925960799755288,0.9994095944591088,0.000019870135648724,0.9988377960097554,0.00004790045405989804,0.966,,,,,
75,,43.40825756687927,19.575650850089943,0.9993315905673035,0.00002276994157961582,0.9990625463964982,0.0000298568853159507,0.979,,,,,
76,,48.782727683827076,30.94656306079635,0.9993118131870367,0.000022577668006656813,0.9991077300664564,0.00003230532964919552,0.977,,,,,
77,,66.6676198739502,43.11765867037742,0.9995924687233325,0.00001724539720413447,0.9995064783499539,0.000007402076012384896,0.967,,,,,
78,,35.63284199925576,31.036838535003497,0.9992937896693248,0.000025388250097998516,0.9990120669934652,0.000033676987412099175,0.968,,,,,
79,,35.15011688182135,2.5363357900598515,0.5,1,0.5,1,0.736,,,,,
80,,59.62944085347033,31.287153516856847,0.9994352198724992,0.000017398421038887977,0.9991491323563662,0.000038434064103735136,0.977,,,,,
81,,33.154778849464606,27.92637653481478,0.9988674226952577,0.00004119255541496766,0.9988322844493162,0.00001797270168579021,0.978,,,,,
82,,28.144899065107865,33.4331274602917,0.9992897618774059,0.000013335832724108,0.9990157993389152,0.000011453930073126451,0.972,,,,,
83,,33.07901187321605,27.157554334467093,0.9985476223570893,0.000045627041498093795,0.9983684991179496,0.000097037167479548,0.993,,,,,
,0-1,,,,,,,,0.9395901277720793,0.000031044883644471,0.000020115346305416004,0.9988642773318137,0.9684999999999999
